# 
# Phonon density of states and atom type projected DOS
# 
# Energy in Ha , DOS in states/Ha
# Gaussian method with smearing =   2.00000000E-05Ha , nqibz =1140
# 
# omega     PHDOS    INT_PHDOS   PJDOS[atom_type=1]  INT_PJDOS[atom_type=1] ...  
#
  -6.94172783E-05   1.28351034E+02   1.06590936E-02   1.28351034E+02   1.06590936E-02  
  -6.85060113E-05   1.27536822E+02   1.07753137E-02   1.27536822E+02   1.07753137E-02  
  -6.75947442E-05   1.26689844E+02   1.08907620E-02   1.26689844E+02   1.08907620E-02  
  -6.66834772E-05   1.25811469E+02   1.10054098E-02   1.25811469E+02   1.10054098E-02  
  -6.57722101E-05   1.24903447E+02   1.11192302E-02   1.24903447E+02   1.11192302E-02  
  -6.48609431E-05   1.23967898E+02   1.12321981E-02   1.23967898E+02   1.12321981E-02  
  -6.39496760E-05   1.23007288E+02   1.13442906E-02   1.23007288E+02   1.13442906E-02  
  -6.30384090E-05   1.22024414E+02   1.14554874E-02   1.22024414E+02   1.14554874E-02  
  -6.21271419E-05   1.21022367E+02   1.15657711E-02   1.21022367E+02   1.15657711E-02  
  -6.12158749E-05   1.20004504E+02   1.16751273E-02   1.20004504E+02   1.16751273E-02  
  -6.03046078E-05   1.18974409E+02   1.17835447E-02   1.18974409E+02   1.17835447E-02  
  -5.93933408E-05   1.17935853E+02   1.18910158E-02   1.17935853E+02   1.18910158E-02  
  -5.84820737E-05   1.16892749E+02   1.19975363E-02   1.16892749E+02   1.19975363E-02  
  -5.75708067E-05   1.15849109E+02   1.21031058E-02   1.15849109E+02   1.21031058E-02  
  -5.66595396E-05   1.14808991E+02   1.22077274E-02   1.14808991E+02   1.22077274E-02  
  -5.57482726E-05   1.13776452E+02   1.23114082E-02   1.13776452E+02   1.23114082E-02  
  -5.48370055E-05   1.12755496E+02   1.24141585E-02   1.12755496E+02   1.24141585E-02  
  -5.39257385E-05   1.11750024E+02   1.25159926E-02   1.11750024E+02   1.25159926E-02  
  -5.30144714E-05   1.10763784E+02   1.26169280E-02   1.10763784E+02   1.26169280E-02  
  -5.21032044E-05   1.09800321E+02   1.27169854E-02   1.09800321E+02   1.27169854E-02  
  -5.11919373E-05   1.08862930E+02   1.28161886E-02   1.08862930E+02   1.28161886E-02  
  -5.02806703E-05   1.07954609E+02   1.29145641E-02   1.07954609E+02   1.29145641E-02  
  -4.93694032E-05   1.07078017E+02   1.30121408E-02   1.07078017E+02   1.30121408E-02  
  -4.84581362E-05   1.06235438E+02   1.31089496E-02   1.06235438E+02   1.31089496E-02  
  -4.75468691E-05   1.05428743E+02   1.32050234E-02   1.05428743E+02   1.32050234E-02  
  -4.66356021E-05   1.04659358E+02   1.33003960E-02   1.04659358E+02   1.33003960E-02  
  -4.57243350E-05   1.03928243E+02   1.33951024E-02   1.03928243E+02   1.33951024E-02  
  -4.48130680E-05   1.03235868E+02   1.34891778E-02   1.03235868E+02   1.34891778E-02  
  -4.39018009E-05   1.02582200E+02   1.35826576E-02   1.02582200E+02   1.35826576E-02  
